#N =          J1         KA         KC         J2          E
  794         15          8          8          7   7352.150
  795          8          8          0          9   7358.185
  796         18         14          4          1   7361.370
  797         21         10         12          1   7370.886
  798         17         15          3          1   7377.951
  799         10          6          4          9   7386.304
  800         26          1         25          1   7389.635
  801         16         12          4          5   7397.678
  802         15         13          3          5   7399.403
  803         16          6         10          7   7399.906
  804         27          1         27          1   7401.265
  805         19         13          7          1   7404.736
  806         23          6         18          1   7406.019
  807         18          2         16          7   7414.043
  808         24          2         22          3   7427.322
  809         21          4         18          5   7442.746
  810         16         16          0          1   7453.124
  811         20         10         10          3   7454.586
  812         17         11          7          5   7456.511
  813         12          2         10          9   7458.137
  814         21          8         14          3   7459.871
  815         14         14          0          5   7459.939
  816         22          5         17          3   7476.171
  817         19          2         18          7   7480.673
  818         25          2         24          3   7486.074
  819         11          5          7          9   7490.800
  820         26          0         26          3   7498.920
  821         20          0         20          7   7500.861
  822         22          8         14          1   7503.886
  823         20         12          8          1   7510.202
  824         13         11          3          7   7522.213
  825         19          8         12          5   7523.488
  826         17         14          4          3   7531.119
  827         13          2         12          9   7534.553
  828         14         10          4          7   7535.469
  829         17          5         13          7   7538.311
  830         16          7          9          7   7545.505
  831         18         13          5          3   7548.059
  832         20          5         15          5   7548.797
  833         22          2         20          5   7551.582
  834         14          0         14          9   7562.254
  835         12         12          0          7   7568.093
  836         16         15          1          3   7573.456
  837          9          8          2          9   7576.837
  838         18         10          8          5   7578.996
  839         10          7          3          9   7586.462
  840         24          4         20          1   7609.272
  841         15          9          7          7   7610.269
  842         23          2         22          5   7612.906
  843         12          3          9          9   7615.307
  844         19         12          8          3   7626.090
  845         24          0         24          5   7628.190
  846         11          6          6          9   7657.954
  847         22          9         13          1   7680.764
  848         21         11         11          1   7681.362
  849         23          5         19          3   7682.805
  850         18          3         15          7   7702.481
  851         21          9         13          3   7705.787
  852         23          7         17          1   7706.024
  853         12          4          8          9   7722.998
  854         22          6         16          3   7746.579
  855         13          3         11          9   7750.385
  856         17          6         12          7   7751.961
  857         16          8          8          7   7752.539
  858         25          4         22          1   7760.984
  859         20          6         14          5   7762.915
  860         21          5         17          5   7763.498
  861         20         11          9          3   7768.285
  862         19          9         11          5   7769.656
  863         16         13          3          5   7788.948
  864         17         12          6          5   7813.432
  865         18         15          3          1   7815.885
  866         19          3         17          7   7816.175
  867         12          5          7          9   7819.061
  868         10          8          2          9   7820.443
